Time,Dollar Value,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs,Dollar Sales
 06-25-17,2131198.649,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 07-02-17,3038888.02,no,no,no,no,yes,Sales > $2.20Mn
 07-09-17,2565184.907,no,no,no,no,no,Sales > $2.20Mn
 07-16-17,2182903.898,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 07-23-17,2084004.509,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 07-30-17,1956387.129,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-06-17,2138381.149,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-13-17,2027053.065,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-20-17,2163364.77,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-27-17,2269547.571,no,no,no,no,no,Sales > $2.20Mn
 09-03-17,3060404.734,no,no,no,no,no,Sales > $2.20Mn
 09-10-17,2483911.658,yes,no,no,no,no,Sales > $2.20Mn
 09-17-17,2372464.13,no,no,no,no,no,Sales > $2.20Mn
 09-24-17,1929446.049,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-01-17,1936117.975,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 10-08-17,1908010.878,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-15-17,1984912.945,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-22-17,1808582.982,no,no,no,no,no,Sales < $1.82Mn
 10-29-17,2230891.788,no,no,no,yes,no,Sales > $2.20Mn
 11-05-17,1845581.514,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-12-17,1775350.111,no,no,no,yes,no,Sales < $1.82Mn
 11-19-17,2297729.461,no,no,no,yes,no,Sales > $2.20Mn
 11-26-17,1820347.699,no,no,no,yes,no,Sales < $1.82Mn
 12-03-17,1745918.159,no,no,yes,yes,no,Sales < $1.82Mn
 12-10-17,1693434.983,no,yes,yes,yes,yes,Sales < $1.82Mn
 12-17-17,1718228.538,no,no,yes,yes,no,Sales < $1.82Mn
 12-24-17,2286717.274,no,no,yes,no,no,Sales > $2.20Mn
 12-31-17,1810829.848,no,no,no,no,no,Sales < $1.82Mn
 01-07-18,2192996.265,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 01-14-18,2118785.018,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 01-21-18,2250822.9,no,no,no,yes,no,Sales > $2.20Mn
 01-28-18,2179126.174,no,no,yes,yes,no,$1.82Mn < Sales < $2.2Mn
 02-04-18,3224793.595,no,no,yes,no,yes,Sales > $2.20Mn
 02-11-18,2244304.663,yes,no,yes,no,no,Sales > $2.20Mn
 02-18-18,1844357.224,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 02-25-18,1984609.374,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 03-04-18,2231722.767,no,no,no,no,no,Sales > $2.20Mn
 03-11-18,2104127.052,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 03-18-18,2150924.373,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 03-25-18,2483062.28,no,no,no,no,no,Sales > $2.20Mn
 04-01-18,2691762.305,no,no,no,no,no,Sales > $2.20Mn
 04-08-18,2082010.805,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-15-18,2097117.685,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-22-18,2110751.775,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 04-29-18,2107983.928,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-06-18,2320009.987,no,no,no,no,no,Sales > $2.20Mn
 05-13-18,2888432.006,no,no,no,yes,no,Sales > $2.20Mn
 05-20-18,2369666.127,no,no,no,yes,no,Sales > $2.20Mn
 05-27-18,3123209.902,no,yes,no,yes,no,Sales > $2.20Mn
